speed,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
25-39,65.0519999992102,alive,none,none,1,m,71,2000,1989,unavail,driver,0,3
10-24,299.861999999732,alive,none,none,1,m,17,2000,1989,unavail,driver,0,2
10-24,299.861999999732,alive,none,none,1,f,81,2000,1989,unavail,driver,0,2
40-54,35.9939999999478,alive,airbag,none,1,m,18,2000,1992,deploy,driver,1,0
55+,35.9939999999478,dead,none,none,0,m,42,2000,1987,unavail,driver,0,4
55+,35.9939999999478,dead,none,none,0,f,39,2000,1987,unavail,pass,0,4
25-39,14.0299999999115,alive,airbag,none,1,f,18,2000,1995,deploy,driver,1,3
10-24,24.7049999998417,alive,none,none,0,f,81,2000,1992,unavail,driver,0,0
10-24,567.270999997854,alive,airbag,belted,0,f,52,2000,1999,nodeploy,driver,0,0
40-54,555.429999999702,alive,none,none,1,f,19,2000,1989,unavail,driver,0,2
40-54,555.429999999702,alive,none,none,1,f,16,2000,1989,unavail,pass,0,2
25-39,555.429999999702,alive,none,none,0,m,20,2000,1997,unavail,driver,0,0
25-39,555.429999999702,alive,none,none,0,m,25,2000,1997,unavail,pass,0,0
1-9km/h,139.41099999845,alive,airbag,none,0,m,16,2000,1994,nodeploy,driver,0,3
1-9km/h,139.41099999845,alive,airbag,none,0,m,18,2000,1994,nodeploy,pass,0,2
10-24,567.438999995589,alive,none,none,1,f,54,2000,1994,unavail,driver,0,1
25-39,272.277999997139,alive,airbag,none,0,m,18,2000,1995,nodeploy,driver,0,2
10-24,63.1239999998361,alive,none,belted,1,f,34,2000,1991,unavail,driver,0,1
10-24,63.1239999998361,alive,airbag,belted,0,f,61,2000,1993,deploy,driver,1,3
10-24,651.179999999702,alive,none,belted,0,m,30,2000,1992,unavail,driver,0,1
10-24,651.179999999702,alive,airbag,belted,1,f,32,2000,1997,nodeploy,driver,0,1
10-24,651.179999999702,alive,airbag,belted,1,m,30,2000,1997,nodeploy,pass,0,1
10-24,231.031999999657,alive,airbag,none,0,f,61,2000,1995,nodeploy,driver,0,2
25-39,795.17499999702,alive,none,none,1,m,43,2000,1991,unavail,driver,0,0
55+,91.2789999991655,dead,airbag,none,0,f,53,2000,1996,nodeploy,driver,0,4
40-54,91.2789999991655,alive,airbag,belted,1,m,37,2000,1995,deploy,driver,1,3
25-39,91.2789999991655,alive,airbag,belted,1,f,31,2000,1994,deploy,driver,1,3
10-24,91.2789999991655,alive,airbag,belted,1,m,59,2000,1997,nodeploy,driver,0,0
25-39,61.8109999997541,alive,airbag,none,1,f,51,2000,1999,deploy,driver,1,3
10-24,698.662999995053,alive,none,belted,0,f,43,2000,1993,unavail,driver,0,0
10-24,698.662999995053,alive,none,belted,0,f,22,2000,1993,unavail,pass,0,0
10-24,698.662999995053,alive,none,belted,1,m,42,2000,1991,unavail,driver,0,0
10-24,698.662999995053,alive,none,none,1,f,74,2000,1991,unavail,pass,0,1
25-39,90.5729999998584,alive,airbag,none,1,m,61,2000,1995,deploy,driver,1,1
10-24,90.5729999998584,alive,airbag,none,1,m,39,2000,1998,deploy,driver,1,2
10-24,320.263999998569,alive,airbag,none,1,f,32,2000,1999,deploy,driver,1,1
10-24,517.997999995947,alive,none,belted,1,f,20,2000,1994,unavail,driver,0,0
10-24,517.997999995947,alive,airbag,belted,1,m,45,2000,1994,deploy,driver,1,1
25-39,139.443999998271,alive,airbag,belted,1,f,35,2000,2000,deploy,driver,1,1
25-39,139.443999998271,alive,airbag,belted,1,m,49,2000,1997,nodeploy,driver,0,1
10-24,231.705999998376,alive,none,belted,0,f,20,2000,1987,unavail,driver,0,1
10-24,231.705999998376,alive,none,belted,1,m,26,2000,1988,unavail,driver,0,0
10-24,493.068999998271,alive,airbag,belted,0,f,28,2000,1999,nodeploy,driver,0,1
10-24,61.8109999997541,alive,airbag,belted,0,f,38,2000,1997,nodeploy,driver,0,3
10-24,61.8109999997541,alive,airbag,belted,1,f,56,2000,1994,nodeploy,driver,0,3
25-39,297.522999998182,alive,none,none,0,f,25,2000,1991,unavail,driver,0,1
25-39,297.522999998182,alive,none,none,0,f,25,2000,1991,unavail,pass,0,0
10-24,297.522999998182,alive,airbag,belted,1,m,48,2000,1997,nodeploy,driver,0,0
10-24,1024.02399998903,alive,none,belted,0,f,17,2000,1991,unavail,driver,0,1
10-24,1024.02399998903,alive,none,belted,0,f,16,2000,1991,unavail,pass,0,0
10-24,391.748999997973,alive,none,belted,1,f,34,2000,1988,unavail,driver,0,1
10-24,391.748999997973,alive,airbag,belted,0,m,84,2000,1992,nodeploy,driver,0,0
10-24,63.1239999998361,alive,none,belted,1,m,20,2000,1989,unavail,driver,0,3
10-24,63.1239999998361,alive,airbag,belted,1,m,57,2000,1998,nodeploy,driver,0,NA
10-24,346.780999999493,alive,none,belted,1,f,80,2000,1985,unavail,driver,0,1
25-39,63.9319999995641,alive,airbag,belted,1,f,74,2000,1998,deploy,driver,1,1
25-39,63.9319999995641,alive,airbag,none,1,m,75,2000,1998,deploy,pass,1,3
40-54,267.792999997735,alive,airbag,belted,1,m,21,2000,1996,deploy,driver,1,2
25-39,267.792999997735,alive,none,belted,1,m,16,2000,1993,unavail,driver,0,2
25-39,267.792999997735,alive,none,belted,1,f,52,2000,1993,unavail,pass,0,1
10-24,267.792999997735,alive,none,belted,1,f,16,2000,1988,unavail,driver,0,1
10-24,267.792999997735,alive,none,none,1,m,21,2000,1988,unavail,driver,0,2
40-54,63.9319999995641,alive,airbag,belted,0,f,44,2000,1999,nodeploy,driver,0,3
55+,63.9319999995641,alive,airbag,belted,0,m,23,2000,2000,nodeploy,driver,0,3
40-54,63.9319999995641,alive,none,none,1,m,43,2000,1985,unavail,driver,0,2
40-54,63.9319999995641,alive,none,none,1,f,39,2000,1985,unavail,pass,0,2
10-24,948.147999994457,alive,airbag,belted,1,m,51,2000,1998,nodeploy,driver,0,0
10-24,948.147999994457,alive,airbag,belted,1,f,65,2000,1998,nodeploy,pass,0,1
25-39,948.147999994457,alive,none,belted,0,m,28,2000,1992,unavail,driver,0,0
10-24,948.147999994457,alive,airbag,belted,0,m,81,2000,1996,nodeploy,driver,0,0
10-24,503.75399999693,alive,airbag,belted,1,m,77,2000,1998,deploy,driver,1,0
10-24,503.75399999693,alive,airbag,belted,1,f,68,2000,1998,deploy,pass,1,1
10-24,503.75399999693,alive,none,belted,0,m,19,2000,1988,unavail,driver,0,0
10-24,503.75399999693,alive,none,belted,0,f,18,2000,1988,unavail,pass,0,0
25-39,265.637999996543,alive,airbag,belted,0,m,16,2000,1996,deploy,driver,1,2
25-39,265.637999996543,alive,airbag,belted,1,f,16,2000,1997,deploy,driver,1,2
10-24,441.396999999881,alive,airbag,belted,1,m,86,2000,1995,deploy,driver,1,2
10-24,1519.21299999952,alive,none,belted,0,m,58,2000,1994,unavail,driver,0,0
40-54,88.4749999996275,dead,airbag,none,0,m,23,2000,1994,deploy,driver,1,4
40-54,88.4749999996275,alive,airbag,belted,1,m,48,2000,1994,deploy,driver,1,2
25-39,116.201999999583,dead,none,none,1,m,25,2000,1991,unavail,driver,0,4
25-39,116.201999999583,dead,none,none,1,f,26,2000,1991,unavail,pass,0,4
10-24,7505.8979999423,alive,none,belted,1,m,84,2000,1988,unavail,driver,0,0
10-24,7505.8979999423,alive,none,belted,1,f,77,2000,1988,unavail,pass,0,0
10-24,228.28599999845,alive,none,belted,1,f,19,2000,1991,unavail,driver,0,1
1-9km/h,785.723999999464,alive,airbag,belted,0,f,65,2000,1994,nodeploy,driver,0,0
1-9km/h,785.723999999464,alive,airbag,belted,1,f,65,2000,1996,nodeploy,driver,0,0
10-24,356.543999999762,alive,airbag,none,1,m,20,2000,1994,deploy,pass,1,1
10-24,270.593999996781,alive,none,belted,1,f,18,2000,1990,unavail,driver,0,1
10-24,270.593999996781,alive,none,belted,1,m,20,2000,1990,unavail,pass,0,1
40-54,86.0509999999776,alive,none,belted,1,m,79,2000,1992,unavail,driver,0,1
25-39,86.0509999999776,alive,airbag,belted,0,f,64,2000,1998,nodeploy,driver,0,3
10-24,210.352999998257,alive,none,none,1,f,19,2000,1988,unavail,driver,0,2
10-24,210.352999998257,alive,none,belted,1,f,18,2000,1988,unavail,pass,0,1
10-24,349.532999999821,alive,none,none,1,m,79,2000,1994,unavail,driver,0,0
10-24,349.532999999821,alive,none,none,0,m,56,2000,1978,unavail,driver,0,1
10-24,349.532999999821,alive,none,none,0,m,31,2000,1978,unavail,pass,0,1
1-9km/h,743.802999995649,alive,airbag,belted,1,m,39,2000,1999,nodeploy,driver,0,0
25-39,139.41099999845,alive,airbag,belted,1,f,70,2000,1994,deploy,driver,1,3
25-39,139.41099999845,alive,airbag,belted,1,m,70,2000,1994,deploy,pass,1,0
10-24,105.648999999277,alive,airbag,belted,0,f,63,2000,1996,nodeploy,driver,0,3
10-24,105.648999999277,alive,airbag,belted,0,f,43,2000,1996,nodeploy,pass,0,1
10-24,105.648999999277,alive,airbag,belted,1,f,51,2000,1996,deploy,driver,1,1
10-24,646.5,alive,none,belted,0,f,45,2000,1990,unavail,driver,0,1
10-24,2225.14599999785,alive,none,belted,1,m,67,2000,1986,unavail,driver,0,0
10-24,113.017999999225,alive,airbag,belted,1,f,74,2000,1999,deploy,driver,1,2
10-24,113.017999999225,alive,airbag,belted,1,m,75,2000,1999,deploy,pass,1,1
10-24,113.017999999225,alive,airbag,belted,0,m,29,2000,1994,nodeploy,driver,0,0
10-24,352.530999999493,alive,airbag,belted,1,m,24,2000,1998,deploy,driver,1,1
10-24,352.530999999493,alive,none,belted,0,f,36,2000,1988,unavail,driver,0,1
10-24,585.782999999821,alive,none,none,1,f,22,2000,1993,unavail,driver,0,5
10-24,585.782999999821,alive,none,none,1,f,38,2000,1993,unavail,pass,0,1
10-24,2016.16599999368,alive,none,none,1,f,24,2000,1994,unavail,driver,0,0
10-24,389.813999999315,alive,airbag,belted,0,m,17,2000,1997,nodeploy,driver,0,1
10-24,647.732999995351,alive,airbag,none,1,m,55,2000,1995,deploy,driver,1,2
10-24,411.02499999851,alive,airbag,belted,0,m,55,2000,1992,nodeploy,driver,0,1
10-24,411.02499999851,alive,airbag,belted,0,m,31,2000,1991,nodeploy,driver,0,1
40-54,874.658999994397,alive,airbag,none,1,m,29,2000,1997,deploy,driver,1,0
10-24,1414.68099999428,alive,none,belted,1,f,40,2000,1988,unavail,driver,0,0
10-24,1414.68099999428,alive,none,belted,1,f,61,2000,1988,unavail,pass,0,0
10-24,715.907999999821,alive,none,belted,1,f,31,2000,1986,unavail,driver,0,2
10-24,2464.0339999795,alive,airbag,belted,1,f,21,2000,1999,deploy,driver,1,0
25-39,111.648999999277,alive,none,none,1,m,19,2000,1991,unavail,driver,0,2
10-24,111.648999999277,alive,airbag,belted,1,m,41,2000,2000,deploy,driver,1,5
10-24,111.648999999277,alive,airbag,none,1,f,38,2000,2000,deploy,pass,1,1
10-24,185.521999999881,alive,none,belted,1,m,16,2000,1990,unavail,driver,0,1
10-24,394.788999997079,alive,airbag,belted,1,f,36,2000,2000,nodeploy,driver,0,0
10-24,394.788999997079,alive,airbag,belted,1,f,26,2000,2000,nodeploy,pass,0,0
10-24,253.231999998912,alive,airbag,none,1,f,21,2000,1998,deploy,driver,1,1
25-39,1448.26399999857,alive,none,none,1,f,22,2000,1992,unavail,driver,0,0
10-24,217.558999998495,alive,none,none,1,m,66,2000,1987,unavail,driver,0,1
10-24,217.558999998495,alive,airbag,belted,1,f,28,2000,2000,deploy,driver,1,5
10-24,217.558999998495,alive,none,none,1,f,81,2000,1982,unavail,driver,0,1
10-24,462.962999999523,alive,none,belted,1,m,35,2000,1987,unavail,driver,0,0
10-24,462.962999999523,alive,airbag,belted,1,f,29,2000,1997,nodeploy,driver,0,0
10-24,748.79999999702,alive,none,belted,1,f,27,2000,1987,unavail,driver,0,0
10-24,118.569999999367,alive,none,belted,0,f,18,2000,1989,unavail,driver,0,1
10-24,118.569999999367,alive,none,belted,0,f,18,2000,1989,unavail,pass,0,1
1-9km/h,118.569999999367,alive,airbag,belted,1,m,57,2000,1995,nodeploy,driver,0,0
1-9km/h,118.569999999367,alive,airbag,belted,1,m,31,2000,1995,nodeploy,pass,0,0
10-24,252.315999999642,alive,airbag,belted,0,f,63,2000,1999,nodeploy,driver,0,0
25-39,408.096999999136,alive,airbag,none,1,f,38,2000,1995,nodeploy,driver,0,5
10-24,440.931999996305,alive,none,belted,0,f,74,2000,1990,unavail,driver,0,1
25-39,440.931999996305,alive,none,none,1,m,34,2000,1991,unavail,driver,0,2
25-39,440.931999996305,alive,none,none,1,f,29,2000,1991,unavail,pass,0,2
10-24,306.329999998212,alive,airbag,none,0,f,31,2000,1998,nodeploy,driver,0,3
10-24,306.329999998212,alive,airbag,belted,1,f,16,2000,1996,nodeploy,driver,0,2
10-24,150.539999999106,alive,airbag,belted,1,m,47,2000,1990,deploy,driver,1,5
10-24,150.539999999106,alive,none,none,1,f,46,2000,1990,unavail,pass,0,1
10-24,150.539999999106,alive,airbag,belted,0,f,16,2000,1999,nodeploy,driver,0,0
10-24,150.539999999106,alive,airbag,belted,0,f,17,2000,1999,nodeploy,pass,0,1
10-24,675.961999997497,alive,airbag,belted,0,f,46,2000,1995,nodeploy,driver,0,1
10-24,675.961999997497,alive,airbag,belted,0,f,25,2000,1995,nodeploy,pass,0,1
10-24,675.961999997497,alive,airbag,belted,0,f,68,2000,1995,nodeploy,driver,0,0
10-24,675.961999997497,alive,airbag,belted,0,f,65,2000,1995,nodeploy,pass,0,0
10-24,217.193999998271,alive,airbag,belted,1,m,72,2000,1995,nodeploy,driver,0,3
10-24,282.379999998957,alive,airbag,belted,1,f,66,2000,2000,nodeploy,driver,0,1
10-24,469.216999996454,alive,airbag,none,1,m,84,2000,1994,deploy,driver,1,1
10-24,469.216999996454,alive,airbag,none,1,f,84,2000,1994,deploy,pass,1,1
10-24,469.216999996454,alive,none,belted,0,f,50,2000,1994,unavail,driver,0,1
10-24,223.958999998868,alive,airbag,none,0,m,17,2000,1994,nodeploy,driver,0,0
10-24,223.958999998868,alive,airbag,none,1,f,75,2000,1998,deploy,driver,1,1
25-39,326.264999996871,alive,none,belted,1,m,17,2000,1990,unavail,driver,0,2
10-24,694.288999997079,alive,airbag,belted,0,f,60,2000,1998,nodeploy,driver,0,0
10-24,150.539999999106,alive,none,none,0,m,79,2000,1987,unavail,driver,0,1
25-39,148.174999998882,alive,airbag,none,1,m,32,2000,1993,deploy,driver,1,1
25-39,148.174999998882,alive,none,none,1,m,37,2000,1993,unavail,pass,0,1
25-39,246.214999999851,alive,airbag,belted,1,f,43,2000,1995,nodeploy,driver,0,0
40-54,246.214999999851,alive,none,none,0,m,17,2000,1994,unavail,driver,0,2
40-54,246.214999999851,alive,none,none,0,m,18,2000,1994,unavail,pass,0,2
10-24,102.371999999508,alive,none,none,1,f,21,2000,1994,unavail,driver,0,2
10-24,80.4039999991655,alive,none,belted,0,f,19,2000,1994,unavail,driver,0,1
10-24,171.098999999464,alive,airbag,belted,1,f,39,2000,1997,nodeploy,driver,0,0
10-24,276.735999997705,alive,airbag,belted,1,f,30,2000,1994,deploy,driver,1,0
40-54,63.1239999998361,alive,none,belted,1,m,19,2000,1992,unavail,driver,0,3
25-39,63.1239999998361,alive,airbag,belted,1,m,24,2000,1993,deploy,driver,1,2
10-24,159.147999998182,alive,none,belted,0,m,18,2000,1991,unavail,driver,0,0
10-24,159.147999998182,alive,none,none,0,m,18,2000,1991,unavail,pass,0,2
25-39,159.147999998182,alive,airbag,belted,1,m,44,2000,1994,deploy,driver,1,2
55+,547.758999995887,alive,airbag,belted,1,f,21,2000,1993,deploy,driver,1,0
10-24,544.606999993324,alive,airbag,belted,0,m,17,2000,1998,nodeploy,driver,0,0
10-24,544.606999993324,alive,airbag,belted,0,m,17,2000,1998,nodeploy,pass,0,1
10-24,86.0509999999776,alive,airbag,belted,1,m,70,2000,2000,deploy,driver,1,3
10-24,86.0509999999776,alive,airbag,none,0,f,45,2000,1995,nodeploy,driver,0,1
10-24,86.0509999999776,alive,airbag,none,0,f,47,2000,1995,nodeploy,pass,0,1
25-39,221.680999999866,alive,none,none,1,f,23,2000,1992,unavail,driver,0,2
25-39,221.680999999866,alive,none,none,1,f,24,2000,1992,unavail,pass,0,3
25-39,534.75,alive,airbag,belted,1,f,17,2000,1997,deploy,driver,1,0
25-39,534.75,alive,airbag,belted,1,m,17,2000,1997,deploy,pass,1,2
25-39,534.75,alive,airbag,belted,1,m,32,2000,1995,deploy,driver,1,0
10-24,1890.86199998856,alive,airbag,belted,1,m,23,2000,1999,deploy,driver,1,2
10-24,139.41099999845,alive,none,none,0,m,31,2000,1985,unavail,pass,0,0
1-9km/h,391.906999997795,alive,airbag,none,0,m,24,2000,1998,nodeploy,driver,0,2
10-24,651.21099999547,alive,none,none,0,f,47,2000,1988,unavail,driver,0,1
10-24,651.21099999547,alive,none,belted,1,m,68,2000,1979,unavail,driver,0,0
10-24,61.8109999997541,alive,airbag,belted,0,m,55,2000,1997,nodeploy,driver,0,3
40-54,246.951999999583,alive,airbag,belted,1,m,34,2000,2000,deploy,driver,1,1
40-54,246.951999999583,alive,none,none,1,f,21,2000,1992,unavail,driver,0,2
10-24,410.347999997437,alive,none,belted,0,m,33,2000,1987,unavail,driver,0,0
10-24,1046.24499998987,alive,airbag,belted,0,f,36,2000,1993,nodeploy,driver,0,0
55+,88.4749999996275,alive,airbag,none,1,m,49,2000,2000,deploy,driver,1,3
55+,88.4749999996275,dead,airbag,belted,0,f,26,2000,1999,nodeploy,driver,0,4
55+,88.4749999996275,dead,airbag,belted,0,f,54,2000,1999,nodeploy,pass,0,4
10-24,590.480999998748,alive,airbag,none,1,m,32,2000,1992,nodeploy,driver,0,2
10-24,590.480999998748,alive,airbag,belted,1,m,31,2000,2000,nodeploy,driver,0,0
10-24,590.480999998748,alive,none,belted,1,m,17,2000,1991,unavail,driver,0,2
10-24,1256.53999999166,alive,airbag,belted,1,f,36,2000,2000,deploy,driver,1,0
25-39,87.6549999993294,alive,none,belted,1,m,74,2000,1988,unavail,driver,0,2
25-39,87.6549999993294,alive,none,none,1,f,72,2000,1988,unavail,pass,0,3
10-24,2605.74599999189,alive,airbag,belted,1,f,18,2000,2000,nodeploy,driver,0,0
10-24,2605.74599999189,alive,airbag,belted,1,m,19,2000,2000,nodeploy,pass,0,0
10-24,67.8719999995083,alive,none,belted,0,m,41,2000,1987,unavail,driver,0,0
10-24,67.8719999995083,alive,none,belted,1,f,37,2000,1992,unavail,driver,0,1
25-39,415.330999996513,alive,airbag,belted,0,f,17,2000,1995,nodeploy,driver,0,1
25-39,415.330999996513,alive,airbag,belted,0,f,17,2000,1995,nodeploy,pass,0,1
10-24,415.330999996513,alive,airbag,none,1,m,24,2000,1992,deploy,driver,1,0
10-24,415.330999996513,alive,none,none,1,m,22,2000,1992,unavail,pass,0,0
10-24,883.821999996901,alive,airbag,belted,1,m,25,2000,2000,deploy,driver,1,0
10-24,138.343999998644,alive,airbag,none,0,m,29,2000,2000,nodeploy,driver,0,2
10-24,229.878999998793,alive,none,belted,1,f,50,2000,1988,unavail,driver,0,1
25-39,219.975999999791,alive,airbag,belted,1,m,79,2000,2000,nodeploy,driver,0,0
25-39,219.975999999791,alive,airbag,belted,1,f,64,2000,2000,nodeploy,pass,0,3
25-39,219.975999999791,alive,none,belted,1,m,20,2000,1988,unavail,driver,0,0
10-24,503.75399999693,alive,airbag,belted,0,f,49,2000,1998,nodeploy,driver,0,2
10-24,335.071999996901,alive,airbag,belted,1,f,76,2000,1998,deploy,driver,1,1
10-24,1916.31699998677,alive,airbag,belted,1,f,17,2000,1996,deploy,driver,1,0
10-24,61.0299999997951,alive,airbag,belted,0,f,16,2000,1992,nodeploy,driver,0,0
10-24,61.0299999997951,alive,airbag,belted,0,f,41,2000,1992,nodeploy,pass,0,3
10-24,61.0299999997951,alive,none,belted,1,f,41,2000,1993,unavail,driver,0,0
10-24,232.917999999598,alive,airbag,belted,1,m,38,2000,1994,deploy,driver,1,1
10-24,232.917999999598,alive,none,none,0,f,53,2000,1986,unavail,driver,0,1
25-39,495.647999998182,alive,airbag,belted,1,f,32,2000,1998,deploy,driver,1,0
25-39,801.664999999106,alive,airbag,belted,1,f,53,2000,1994,deploy,driver,1,0
10-24,232.960999999195,alive,airbag,none,1,m,35,2000,1998,nodeploy,driver,0,1
10-24,232.960999999195,alive,airbag,belted,0,m,61,2000,1998,deploy,driver,1,0
10-24,232.960999999195,alive,airbag,belted,0,f,59,2000,1998,deploy,pass,1,1
10-24,232.960999999195,alive,airbag,none,1,m,20,2000,2000,nodeploy,driver,0,0
10-24,232.960999999195,alive,airbag,none,1,f,41,2000,2000,nodeploy,pass,0,1
10-24,1332.32799999416,alive,airbag,belted,1,m,39,2000,1995,deploy,driver,1,0
10-24,1332.32799999416,alive,airbag,belted,0,f,45,2000,1999,nodeploy,driver,0,0
25-39,84.9629999995232,alive,none,none,1,f,40,2000,1993,unavail,driver,0,3
10-24,500.669999998063,alive,airbag,none,0,f,20,2000,2000,nodeploy,driver,0,1
25-39,637.700999997556,alive,none,none,1,m,64,2000,1985,unavail,driver,0,1
10-24,1357.02299998701,alive,airbag,belted,0,f,51,2000,2000,nodeploy,driver,0,0
55+,128.459999999031,dead,airbag,belted,1,m,42,2000,2000,deploy,driver,1,3
25-39,253.659999998286,alive,none,belted,1,f,78,2000,1992,unavail,driver,0,1
25-39,253.659999998286,alive,none,belted,1,f,48,2000,1992,unavail,pass,0,1
10-24,323.730999998748,alive,airbag,belted,1,f,26,2000,1998,deploy,driver,1,0
10-24,323.730999998748,alive,airbag,belted,1,f,32,2000,1998,deploy,pass,1,0
25-39,912.269999995828,alive,none,belted,1,f,46,2000,1990,unavail,driver,0,3
10-24,912.269999995828,alive,none,belted,0,f,27,2000,1986,unavail,driver,0,0
10-24,114.291999999434,alive,airbag,belted,1,f,29,2000,1997,nodeploy,driver,0,3
10-24,114.291999999434,alive,airbag,belted,1,f,31,2000,1997,nodeploy,pass,0,3
10-24,113.052999999374,alive,airbag,none,1,f,30,2000,1997,deploy,driver,1,3
10-24,113.052999999374,alive,airbag,belted,0,f,25,2000,2000,nodeploy,driver,0,3
10-24,49.460999999661,alive,airbag,belted,1,f,16,2000,1997,deploy,driver,1,3
25-39,62.1089999997057,alive,none,belted,0,m,60,2000,1993,unavail,driver,0,3
40-54,45.3639999995939,dead,airbag,belted,0,f,74,2000,1995,deploy,driver,1,4
25-39,43.1079999995418,alive,airbag,belted,1,f,17,2000,1997,deploy,driver,1,0
25-39,43.1079999995418,alive,airbag,belted,1,f,21,2000,1997,deploy,pass,1,2
10-24,18.8599999998696,alive,airbag,belted,0,m,53,2000,1994,nodeploy,driver,0,1
55+,36.4349999995902,dead,none,belted,0,f,71,2000,1988,unavail,driver,0,4
25-39,80.9399999994785,alive,none,belted,1,m,44,2000,1997,unavail,driver,0,3
25-39,35.4109999998473,alive,airbag,belted,0,m,26,2000,1997,nodeploy,driver,0,1
10-24,35.4109999998473,alive,airbag,belted,1,f,47,2000,1997,deploy,driver,1,3
25-39,36.3249999997206,alive,airbag,belted,1,f,33,2000,1997,deploy,driver,1,3
40-54,45.6139999995939,alive,none,none,0,m,39,2000,1986,unavail,driver,0,3
55+,45.6139999995939,alive,none,none,0,m,43,2000,1987,unavail,driver,0,3
25-39,86.6759999999776,alive,airbag,belted,1,m,34,2000,2000,nodeploy,driver,0,0
40-54,37.8919999999925,alive,none,belted,1,f,27,2000,1989,unavail,driver,0,1
25-39,37.8919999999925,alive,airbag,belted,0,m,70,2000,1996,nodeploy,driver,0,2
25-39,37.8919999999925,dead,airbag,belted,0,f,70,2000,1996,nodeploy,pass,0,4
25-39,9863.36799991131,alive,none,belted,1,m,43,2000,1983,unavail,driver,0,0
10-24,3761.96999999881,alive,none,belted,0,f,23,2000,1994,unavail,driver,0,5
40-54,28.6149999999907,alive,airbag,belted,0,m,74,2000,2000,deploy,driver,1,3
40-54,28.6149999999907,alive,none,belted,1,m,47,2000,1983,unavail,driver,0,3
10-24,35.9329999997281,alive,airbag,belted,0,m,20,2000,1996,deploy,driver,1,2
10-24,35.9329999997281,alive,airbag,belted,0,m,19,2000,1996,deploy,pass,1,3
10-24,35.9329999997281,alive,airbag,belted,1,f,38,2000,1997,deploy,driver,1,3
10-24,24.811999999918,alive,airbag,none,0,f,39,2000,1997,deploy,driver,1,3
10-24,24.811999999918,alive,airbag,none,0,m,19,2000,1997,deploy,pass,1,2
10-24,24.811999999918,alive,airbag,belted,1,m,53,2000,1998,deploy,driver,1,3
40-54,163.575999999419,alive,airbag,belted,1,m,40,2000,1995,deploy,driver,1,3
25-39,1135.88699999452,alive,none,belted,1,m,37,2000,1979,unavail,driver,0,2
25-39,1135.88699999452,alive,airbag,belted,1,f,18,2000,1998,deploy,driver,1,2
25-39,1135.88699999452,alive,airbag,belted,1,f,45,2000,1998,deploy,pass,1,2
10-24,29.7979999999516,alive,airbag,belted,1,m,30,2000,1999,deploy,driver,1,3
1-9km/h,29.7979999999516,alive,airbag,belted,1,f,27,2000,1998,deploy,driver,1,3
10-24,16.37099999981,alive,none,belted,1,f,30,2000,1992,unavail,driver,0,3
25-39,47.7689999998547,alive,none,belted,1,m,41,2000,1991,unavail,driver,0,3
10-24,47.7689999998547,alive,airbag,belted,1,f,26,2000,1999,nodeploy,driver,0,3
10-24,47.7689999998547,alive,airbag,belted,1,f,59,2000,2000,nodeploy,driver,0,1
10-24,20.8989999999758,alive,airbag,belted,0,f,40,2000,1999,nodeploy,driver,0,3
10-24,26.2429999997839,alive,airbag,none,0,m,20,2000,1990,nodeploy,driver,0,3
10-24,26.2429999997839,alive,airbag,belted,0,f,17,2000,1990,nodeploy,pass,0,3
10-24,26.2429999997839,alive,airbag,belted,1,m,43,2000,1995,deploy,driver,1,1
10-24,26.2429999997839,alive,airbag,belted,1,f,43,2000,1995,deploy,pass,1,3
55+,29.4209999998566,dead,none,belted,0,f,58,2000,1986,unavail,driver,0,4
40-54,29.4209999998566,alive,none,belted,1,m,19,2000,1985,unavail,driver,0,3
40-54,29.4209999998566,alive,none,belted,1,f,16,2000,1985,unavail,pass,0,3
25-39,29.4209999998566,alive,none,none,1,m,63,2000,1987,unavail,driver,0,3
40-54,29.4209999998566,alive,none,belted,1,f,73,2000,1991,unavail,driver,0,3
40-54,29.4209999998566,dead,none,belted,1,f,70,2000,1991,unavail,pass,0,4
40-54,65.359999999404,alive,airbag,belted,0,f,19,2000,1998,nodeploy,driver,0,3
1-9km/h,8328.64099991322,alive,airbag,none,0,f,55,2000,1999,nodeploy,driver,0,0
55+,28.5949999999721,alive,airbag,none,0,m,48,2000,1998,nodeploy,driver,0,3
10-24,28.4969999999739,alive,airbag,belted,1,m,31,2000,1997,deploy,driver,1,1
25-39,28.4969999999739,alive,airbag,belted,0,f,30,2000,1997,deploy,driver,1,3
40-54,35.7849999996834,alive,airbag,none,0,m,32,2000,1994,deploy,driver,1,3
40-54,35.7849999996834,alive,airbag,none,0,f,25,2000,1994,deploy,pass,1,3
25-39,78.9439999992028,alive,airbag,belted,0,f,35,2000,1998,nodeploy,driver,0,3
25-39,78.9439999992028,alive,airbag,belted,0,m,39,2000,1998,nodeploy,pass,0,3
10-24,520.439999997616,alive,airbag,belted,0,f,33,2000,1993,nodeploy,driver,0,3
25-39,43.3699999996461,alive,airbag,belted,1,m,26,2000,2000,deploy,driver,1,2
25-39,43.3699999996461,alive,airbag,belted,0,f,77,2000,1996,deploy,driver,1,3
10-24,33.1529999999329,alive,airbag,belted,0,m,68,2000,1995,nodeploy,driver,0,0
10-24,33.1529999999329,alive,airbag,belted,1,m,68,2000,1999,deploy,driver,1,1
